coefficient_name,value,constrain
knr_transit_ASC_auto_deficient_atwork,-1.9399932861171254,F
knr_transit_ASC_auto_deficient_eatout,-1.2106306169467667,F
knr_transit_ASC_auto_deficient_escort,-2.568862115375934,F
knr_transit_ASC_auto_deficient_othdiscr,-0.21857897694676567,F
knr_transit_ASC_auto_deficient_othmaint,-0.6678839153759344,F
knr_transit_ASC_auto_deficient_school,3.3978043428970928,F
knr_transit_ASC_auto_deficient_shopping,1.5441849846240654,F
knr_transit_ASC_auto_deficient_social,-0.19722250694676588,F
knr_transit_ASC_auto_deficient_univ,-1.692037454533594,F
knr_transit_ASC_auto_deficient_work,-0.9265283206505281,F
knr_transit_ASC_auto_sufficient_atwork,-8.401027,F
knr_transit_ASC_auto_sufficient_eatout,-4.2085118512760635,F
knr_transit_ASC_auto_sufficient_escort,-6.838218715967826,F
knr_transit_ASC_auto_sufficient_othdiscr,-3.9021891812760625,F
knr_transit_ASC_auto_sufficient_othmaint,-3.4504889159678274,F
knr_transit_ASC_auto_sufficient_school,-2.277428388052357,F
knr_transit_ASC_auto_sufficient_shopping,-4.107051515967827,F
knr_transit_ASC_auto_sufficient_social,-3.4411971512760617,F
knr_transit_ASC_auto_sufficient_univ,-5.319530792828083,F
knr_transit_ASC_auto_sufficient_work,-4.9329510955914415,F
knr_transit_ASC_no_auto_atwork,12.62458963472672,F
knr_transit_ASC_no_auto_eatout,-0.08063934262712624,F
knr_transit_ASC_no_auto_escort,0.33441781405119336,F
knr_transit_ASC_no_auto_othdiscr,-0.08063934262712624,F
knr_transit_ASC_no_auto_othmaint,0.33441781405119336,F
knr_transit_ASC_no_auto_school,8.739911937792566,F
knr_transit_ASC_no_auto_shopping,0.33441781405119336,F
knr_transit_ASC_no_auto_social,-0.08063934262712624,F
knr_transit_ASC_no_auto_univ,-2.2395246078121738,F
knr_transit_ASC_no_auto_work,1.4015455237917531,F
local_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.0,F
local_ASC_school_univ,0.0,F
local_ASC_work,0.0,F
mix_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.0,F
mix_ASC_school_univ,0.0,F
mix_ASC_work,0.0,F
pnr_transit_ASC_auto_deficient_atwork,-998.8196,F
pnr_transit_ASC_auto_deficient_eatout,-0.8460417618850737,F
pnr_transit_ASC_auto_deficient_escort,-1.6507532793754762,F
pnr_transit_ASC_auto_deficient_othdiscr,-1.125917061885074,F
pnr_transit_ASC_auto_deficient_othmaint,-0.7964788593754759,F
pnr_transit_ASC_auto_deficient_school,0.2624050266413006,F
pnr_transit_ASC_auto_deficient_shopping,-0.9155383593754757,F
pnr_transit_ASC_auto_deficient_social,0.11687163811492657,F
pnr_transit_ASC_auto_deficient_univ,0.9423110576675581,F
pnr_transit_ASC_auto_deficient_work,-1.2214924813253423,F
pnr_transit_ASC_auto_sufficient_atwork,-999.21466,F
pnr_transit_ASC_auto_sufficient_eatout,-3.7901885568865494,F
pnr_transit_ASC_auto_sufficient_escort,-6.841169450781741,F
pnr_transit_ASC_auto_sufficient_othdiscr,-3.1992643968865484,F
pnr_transit_ASC_auto_sufficient_othmaint,-4.8646925507817445,F
pnr_transit_ASC_auto_sufficient_school,-2.327712780106621,F
pnr_transit_ASC_auto_sufficient_shopping,-4.411638550781741,F
pnr_transit_ASC_auto_sufficient_social,-3.4365284468865487,F
pnr_transit_ASC_auto_sufficient_univ,-0.3928019396668135,F
pnr_transit_ASC_auto_sufficient_work,-2.8393215543894885,F
pnr_transit_ASC_no_auto_atwork,0.0,F
pnr_transit_ASC_no_auto_eatout,0.0,F
pnr_transit_ASC_no_auto_escort,0.0,F
pnr_transit_ASC_no_auto_othdiscr,0.0,F
pnr_transit_ASC_no_auto_othmaint,0.0,F
pnr_transit_ASC_no_auto_school,0.0,F
pnr_transit_ASC_no_auto_shopping,0.0,F
pnr_transit_ASC_no_auto_social,0.0,F
pnr_transit_ASC_no_auto_univ,0.0,F
pnr_transit_ASC_no_auto_work,0.0,F
premium_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.0,F
premium_ASC_school_univ,0.0,F
premium_ASC_work,0.0,F
schoolbus_ASC_auto_deficient_school,0.6944672869239655,F
schoolbus_ASC_auto_sufficient_school,-1.2865949994659802,F
schoolbus_ASC_no_auto_school,9.93967431187934,F
schoolbus_ASC_not_school,0.0,T
sr2_ASC_no_auto_atwork,-0.5359920537531141,F
sr2_ASC_no_auto_eatout,1.3776086354097141,F
sr2_ASC_no_auto_escort,1.5828523355124309,F
sr2_ASC_no_auto_othdiscr,1.3776086354097141,F
sr2_ASC_no_auto_othmaint,1.5828523355124309,F
sr2_ASC_no_auto_school,8.014464470436078,F
sr2_ASC_no_auto_shopping,1.5828523355124309,F
sr2_ASC_no_auto_social,1.3776086354097141,F
sr2_ASC_no_auto_univ,0.1463438859204894,F
sr2_ASC_no_auto_work,0.5495163418451667,F
taxi_ASC_no_auto_eatout_othdiscr_social,0.9923,F
taxi_ASC_no_auto_escort_othmaint_shopping,1.8939,F
taxi_ASC_no_auto_school_univ,-7.0,T
taxi_ASC_no_auto_work,4.7291,F
taxi_ASC_no_auto_atwork,4.1021,F
taxi_ASC_auto_deficient_eatout_othdiscr_social,-3.1317,F
taxi_ASC_auto_deficient_escort_othmaint_shopping,0.1766,F
taxi_ASC_auto_deficient_school,-0.3338,F
taxi_ASC_auto_deficient_univ,4.2492,F
taxi_ASC_auto_deficient_work,-1.4766,F
taxi_ASC_auto_deficient_atwork,-4.4046,F
taxi_ASC_auto_sufficient_eatout_othdiscr_social,-3.0374,F
taxi_ASC_auto_sufficient_escort_othmaint_shopping,-1.8055,F
taxi_ASC_auto_sufficient_school,-2.4294,F
taxi_ASC_auto_sufficient_univ,-0.3131,F
taxi_ASC_auto_sufficient_work,-4.8509,F
taxi_ASC_auto_sufficient_atwork,-2.8804,F
tnc_single_ASC_no_auto_eatout_othdiscr_social,1.6852,F
tnc_single_ASC_no_auto_escort_othmaint_shopping,1.8605,F
tnc_single_ASC_no_auto_school,-7.0,T
tnc_single_ASC_no_auto_univ,-2.519,F
tnc_single_ASC_no_auto_work,5.7855,F
tnc_single_ASC_no_auto_atwork,4.4982,F
tnc_single_ASC_auto_deficient_eatout_othdiscr_social,-2.9623,F
tnc_single_ASC_auto_deficient_escort_othmaint_shopping,0.6748,F
tnc_single_ASC_auto_deficient_school,-0.5524,F
tnc_single_ASC_auto_deficient_univ,1.0221,F
tnc_single_ASC_auto_deficient_work,-0.8013,F
tnc_single_ASC_auto_deficient_atwork,-3.7626,F
tnc_single_ASC_auto_sufficient_eatout_othdiscr_social,-2.3239,F
tnc_single_ASC_auto_sufficient_escort_othmaint_shopping,-1.45,F
tnc_single_ASC_auto_sufficient_school,-2.8375,F
tnc_single_ASC_auto_sufficient_univ,0.2088,F
tnc_single_ASC_auto_sufficient_work,-4.1946,F
tnc_single_ASC_auto_sufficient_atwork,-2.7988,F
tnc_shared_ASC_no_auto_eatout_othdiscr_social,0.6464,F
tnc_shared_ASC_no_auto_escort_othmaint_shopping,0.9361,F
tnc_shared_ASC_no_auto_school,-7.0,T
tnc_shared_ASC_no_auto_univ,-5.8116,F
tnc_shared_ASC_no_auto_work,3.2429,F
tnc_shared_ASC_no_auto_atwork,3.3672,F
tnc_shared_ASC_auto_deficient_eatout_othdiscr_social,-4.3576,F
tnc_shared_ASC_auto_deficient_escort_othmaint_shopping,-0.3863,F
tnc_shared_ASC_auto_deficient_school,-1.4746,F
