"ID","Area","COUNTY","EXTERNAL","DISTRICT","SUPER_DIST_25"
2425,0.248481,6,0,251,13
2813,0.074337,6,1,0,
2812,0.107694,6,1,0,
2816,0.129074,6,1,0,
2815,0.117679,6,1,0,
2817,0.138418,6,1,0,
2819,0.159164,6,1,0,
2818,0.133109,6,1,0,
2814,0.057712,6,1,0,
2495,4.307151,6,0,231,13
2492,6.350747,6,0,231,13
2421,0.858307,6,0,251,13
2491,1.534204,6,0,231,13
2510,2.027482,6,0,231,13
2476,0.479945,6,0,230,13
2821,0.220184,6,1,0,
2822,0.156830,6,1,0,
2824,0.156004,6,1,0,
2825,0.259986,6,1,0,
2823,0.145094,6,1,0,
2829,0.163473,6,1,0,
2827,0.176758,6,1,0,
2826,0.198330,6,1,0,
2828,0.173531,6,1,0,
2514,7.627187,6,0,231,13
2820,0.188403,6,1,0,
2497,2.790034,6,0,231,13
2503,1.405864,6,0,231,13
2493,8.643720,6,0,231,13
2494,5.581853,6,0,231,13
2496,4.008695,6,0,231,13
2512,1.984844,6,0,231,13
2499,0.975746,6,0,231,13
2513,1.977699,6,0,231,13
2515,7.077899,6,0,231,13
2505,1.594540,6,0,231,13
2498,1.002449,6,0,231,13
2504,1.648516,6,0,231,13
2506,1.012286,6,0,231,13
2508,1.428573,6,0,231,13
2507,1.000338,6,0,231,13
2502,1.461006,6,0,231,13
2500,1.015477,6,0,231,13
2501,0.966320,6,0,231,13
2830,0.548616,6,1,0,
2445,2.845966,6,0,228,13
2446,2.869573,6,0,228,13
2459,3.853963,6,0,229,13
2460,1.471016,6,0,229,13
2444,2.803983,6,0,228,13
2423,0.397321,6,0,251,13
2509,6.961150,6,0,231,13
2511,6.042101,6,0,231,13
2451,10.136247,6,0,228,13
2488,9.009287,6,0,230,13
2483,1.046457,6,0,230,13
2478,12.047916,6,0,230,13
2475,18.187334,6,0,230,13
2452,9.503223,6,0,228,13
2449,1.446420,6,0,228,13
2474,18.674500,6,0,230,13
2450,7.177670,6,0,228,13
2448,4.461803,6,0,228,13
2482,2.224234,6,0,230,13
2487,5.278790,6,0,230,13
2458,2.111409,6,0,229,13
2438,5.375041,6,0,227,13
2420,1.247370,6,0,251,13
2416,1.557502,6,0,226,13
2419,1.613477,6,0,226,13
2428,0.641704,6,0,227,13
2516,25.472204,6,0,231,13
2479,18.309261,6,0,230,13
2477,11.915143,6,0,230,13
2486,10.139586,6,0,230,13
2435,0.340880,6,0,226,13
2434,0.448292,6,0,226,13
2433,1.002070,6,0,226,13
2437,8.344606,6,0,227,13
2467,20.280016,6,0,230,13
2485,10.476709,6,0,230,13
2473,16.530933,6,0,230,13
2431,0.708443,6,0,227,13
2436,2.604976,6,0,227,13
2472,31.940935,6,0,230,13
2432,3.928349,6,0,227,13
2427,1.258034,6,0,228,13
2424,0.700268,6,0,228,13
2441,6.265864,6,0,227,13
2440,3.322119,6,0,227,13
2439,1.359133,6,0,227,13
2418,0.727402,6,0,227,13
2457,0.649555,6,0,229,13
2456,8.396768,6,0,229,13
2442,5.478292,6,0,227,13
2443,1.143764,6,0,227,13
2417,2.612944,6,0,227,13
2484,7.917031,6,0,230,13
2490,34.093300,6,0,230,13
2054,0.021671,5,0,213,11
2043,0.037785,5,0,213,11
2042,0.022196,5,0,213,11
2061,0.037786,5,0,213,11
2058,0.065484,5,0,213,11
2090,0.332807,5,0,212,11
2096,0.178639,5,0,212,11
2059,0.044788,5,0,213,11
2095,0.380574,5,0,212,11
2092,0.302241,5,0,212,11
2325,0.325594,5,0,221,12
2324,0.191050,5,0,221,12
2063,0.100495,5,0,213,11
2104,0.095541,5,0,212,11
2062,0.072475,5,0,213,11
2060,0.095395,5,0,213,11
2094,0.185467,5,0,212,11
2103,0.527565,5,0,212,11
2101,0.357614,5,0,212,11
2099,0.404200,5,0,212,11
2323,0.791160,5,0,221,12
2089,0.212858,5,0,212,11
2086,0.616321,5,0,212,11
2100,0.570923,5,0,212,11
2087,0.223527,5,0,212,11
2088,0.559399,5,0,212,11
2105,0.253105,5,0,212,11
2326,1.725600,5,0,221,12
2091,0.922760,5,0,212,11
2106,0.802620,5,0,212,11
2102,0.692783,5,0,212,11
2319,6.052474,5,0,221,12
2317,3.016549,5,0,221,12
2251,1.451293,5,0,211,12
2253,0.741742,5,0,211,12
2332,0.076082,5,0,221,12
2077,0.184501,5,0,213,11
2307,0.204733,5,0,209,11
2308,0.256500,5,0,209,11
2076,0.088932,5,0,213,11
2045,0.192658,5,0,213,11
2112,0.257689,5,0,210,11
2113,0.383039,5,0,210,11
2114,0.169763,5,0,210,11
2241,0.060439,5,0,220,11
2172,0.264588,5,0,220,11
2118,0.012102,5,0,218,11
2132,0.046005,5,0,218,11
2133,0.025256,5,0,218,11
2123,0.016321,5,0,218,11
2135,0.022032,5,0,218,11
2146,0.031357,5,0,216,11
2124,0.008285,5,0,218,11
2122,0.008073,5,0,218,11
2121,0.022244,5,0,218,11
2127,0.057741,5,0,217,11
2116,0.028176,5,0,218,11
2117,0.015194,5,0,218,11
2120,0.018866,5,0,218,11
2239,0.116639,5,0,220,11
2237,0.060502,5,0,220,11
2225,0.197885,5,0,220,11
2228,0.143664,5,0,220,11
2229,0.074835,5,0,220,11
2223,0.218644,5,0,220,11
2195,0.121586,5,0,214,11
2196,0.225701,5,0,214,11
2266,0.850367,5,0,208,12
2190,0.041794,5,0,214,12
2110,0.736344,5,0,210,11
2108,0.065911,5,0,210,11
2149,0.046723,5,0,216,11
2232,0.440060,5,0,220,11
2129,0.014687,5,0,217,11
2131,0.041474,5,0,216,11
2130,0.027047,5,0,216,11
2147,0.041046,5,0,216,11
2153,0.059080,5,0,216,11
2155,0.091825,5,0,216,11
2157,0.042675,5,0,216,11
2152,0.090223,5,0,216,11
2154,0.057405,5,0,216,11
2156,0.115649,5,0,216,11
2111,0.326118,5,0,210,11
2306,0.550726,5,0,209,11
2233,0.364024,5,0,220,11
2242,0.129081,5,0,220,11
2240,0.167772,5,0,220,11
2173,0.061030,5,0,220,11
2243,0.238288,5,0,220,11
2247,0.202947,5,0,220,11
2244,0.305119,5,0,220,11
2162,0.635164,5,0,220,11
2226,0.639532,5,0,220,11
2231,0.431813,5,0,220,11
2234,0.342925,5,0,220,11
2305,0.397860,5,0,209,11
2182,0.855377,5,0,214,11
2304,0.356663,5,0,209,11
2238,0.228694,5,0,220,11
2160,0.097787,5,0,217,11
2128,0.111103,5,0,217,11
2158,0.012925,5,0,217,11
2171,0.266770,5,0,220,11
2159,0.187966,5,0,217,11
2184,0.560120,5,0,214,11
2185,0.183348,5,0,214,11
2179,0.256212,5,0,214,11
2180,0.158444,5,0,214,11
2165,0.246864,5,0,214,11
2331,1.018088,5,0,221,12
2245,0.353721,5,0,220,11
2330,0.356784,5,0,221,12
2161,0.482374,5,0,220,11
2164,0.486504,5,0,214,11
2163,0.209574,5,0,220,11
2181,0.482659,5,0,214,11
2309,0.090341,5,0,209,11
2310,0.478484,5,0,209,11
2178,0.079540,5,0,214,11
2169,0.398128,5,0,214,11
2170,0.651931,5,0,214,11
2167,0.558845,5,0,214,11
2168,0.265140,5,0,214,11
2177,0.090559,5,0,216,11
2151,0.045958,5,0,216,11
2193,0.295946,5,0,214,11
2150,0.112941,5,0,216,11
2183,0.149610,5,0,214,11
2176,0.177009,5,0,216,11
2174,0.191614,5,0,214,11
2358,0.965710,5,0,222,12
2287,2.070363,5,0,206,12
2351,2.679506,5,0,222,12
2216,0.557246,5,0,219,11
2359,0.285520,5,0,222,12
2357,2.056109,5,0,222,12
2286,3.821210,5,0,206,12
2205,0.217920,5,0,215,11
2137,0.072160,5,0,218,11
2227,0.290611,5,0,220,11
2119,0.109201,5,0,218,11
2222,0.469734,5,0,219,11
2125,0.114795,5,0,218,11
2342,0.748726,5,0,221,12
2354,1.039547,5,0,222,12
2355,0.428252,5,0,222,12
2218,0.100270,5,0,219,11
2370,1.008431,5,0,223,12
2349,1.317103,5,0,222,12
2348,0.984283,5,0,222,12
2353,2.077250,5,0,222,12
2224,0.527123,5,0,220,11
2368,7.559978,5,0,223,12
2145,0.020647,5,0,216,11
2206,0.148361,5,0,215,11
2203,0.452990,5,0,215,11
2204,0.213338,5,0,215,11
2134,0.030389,5,0,218,11
2136,0.013808,5,0,218,11
2138,0.124316,5,0,218,11
2142,0.048056,5,0,218,11
2143,0.046397,5,0,216,11
2144,0.037055,5,0,216,11
2214,0.107858,5,0,219,11
2215,0.149146,5,0,219,11
2207,0.134494,5,0,215,11
2209,0.165724,5,0,215,11
2139,0.153385,5,0,218,11
2210,0.248134,5,0,219,11
2208,0.328500,5,0,215,11
2213,0.179911,5,0,219,11
2211,0.149293,5,0,219,11
2126,0.079489,5,0,218,11
2350,3.479549,5,0,222,12
2352,0.889702,5,0,222,12
