id,purpose,freq_dep,freq_arr,freq_dur
17,esc,6020.551824,3135.674577,2400.242307
17,idisc,26285.52102,21429.91046,6619.087006
17,imain,57436.82462,43292.6369,9881.663446
17,jdisc,3409.052508,2373.379333,18.0505115
17,jmain,5877.182726,5795.851964,509.6488501
17,sch,1225.224366,2165.274365,172344.944
17,Total,136229.1446,95669.87393,253911.4412
17,univ,3252.598363,4977.142364,11441.47559
17,work,11793.46719,7737.437549,50552.59197
18,atwork,41719.00702,12312.27718,224.4130032
18,esc,8872.430271,6757.4983,616.0896166
18,idisc,26251.48188,22616.08207,8973.287778
18,imain,41754.49737,49273.04755,12404.39228
18,jdisc,3344.482627,2012.424986,0
18,jmain,5665.424204,2699.908264,1034.446121
18,sch,2011.742454,4372.08216,100452.743
18,Total,146983.9982,108431.5924,196340.4473
18,univ,5111.422166,3272.686993,8494.489538
18,work,12253.5102,5115.584861,64140.58593
19,atwork,47487.75121,35316.30038,0
19,esc,9189.494163,9507.50382,3633.534824
19,idisc,23141.2879,22452.38047,6298.971235
19,imain,50788.13703,48204.41053,10509.94912
19,jdisc,2116.596877,3400.111138,389.2413353
19,jmain,5007.301658,7926.402968,129.809779
19,sch,1980.159568,9146.625963,53096.6296
19,Total,158575.0579,159073.7655,186458.2016
19,univ,5997.699937,7679.263994,2509.575094
19,work,12866.62951,15440.76629,109890.4906
20,atwork,19881.41647,40652.06436,550.6779508
20,esc,4703.570976,6400.909377,941.8615286
20,idisc,20592.12736,21662.71095,6167.58057
20,imain,35106.7417,47332.01802,11849.55171
20,jdisc,2854.622418,1335.038384,504.3706593
20,jmain,4363.809544,4357.867195,133.7547638
20,sch,2072.585894,4529.993224,54256.33375
20,Total,117190.1583,140490.6124,240133.1347
20,univ,4647.884375,3884.346608,3171.04287
20,work,22967.3996,10335.66425,162557.9609
21,atwork,18315.59187,33435.90318,0
21,esc,4333.717582,5018.359725,1994.955836
21,idisc,16704.53363,20327.57679,7679.826554
21,imain,58664.28025,47783.40931,6221.534085
21,jdisc,1197.995131,4338.29965,128.8344203
21,jmain,8947.928919,4899.567216,151.5406957
21,sch,102.7979443,2890.953096,41323.9216
21,Total,127954.0877,139009.4516,236047.3619
