"timebin","purpose","freq_stop","freq_trip"
28,"sch",41318.6967840232,84569.4040484051
29,"sch",34402.2104714392,81639.0302661592
3,"sch",0,86.2536482
30,"sch",37107.867276904,74648.178476168
31,"sch",31677.269799424,50069.0860953973
32,"sch",27390.489627728,35647.264338536
33,"sch",19671.0891998,22072.85912752
34,"sch",14045.757922848,17296.741115084
35,"sch",16076.649694728,17969.302717216
36,"sch",5789.73494262,7820.442681496
37,"sch",5332.41651812,7026.151199144
38,"sch",1980.63668814,2460.326638192
39,"sch",1100.961146992,1386.724023276
4,"sch",0,0
40,"sch",185.449446692,185.449446692
41,"sch",86.2536482,86.2536482
42,"sch",0,0
43,"sch",0,0
44,"sch",0,0
45,"sch",0,0
46,"sch",0,0
47,"sch",0,40.6612433
48,"sch",0,0
49,"sch",0,0
5,"sch",0,0
6,"sch",0,1874.6960448
7,"sch",558.745186716,21444.6200633
8,"sch",4970.1506912,129907.692852485
9,"sch",20554.011443189,227872.637158702
1,"univ",0,0
10,"univ",3375.084397216,22057.086605191
11,"univ",6667.1782159,29342.614186133
12,"univ",3149.623161051,27748.720329258
13,"univ",1806.000969464,22122.495170221
14,"univ",2709.512461396,20584.293415416
15,"univ",2318.033544862,15195.540898289
16,"univ",3663.542298933,10432.676295064
17,"univ",5339.490267355,13151.194680287
18,"univ",2811.177760543,14575.46221191
19,"univ",7655.878024339,24844.449211328
2,"univ",0,139.831384935
20,"univ",4886.0872712,15516.274203921
21,"univ",8042.55849583,19779.36307801
22,"univ",4601.525334799,19063.003644752
23,"univ",10197.024422616,25575.2734593
24,"univ",8421.73685545,19698.149845516
25,"univ",8327.919321015,28650.0161690556
26,"univ",9581.8087851726,23683.6026602186
27,"univ",8680.26046163,24007.366357463
28,"univ",8179.084644268,19218.418725942
29,"univ",4630.2432078816,17134.3499889002
3,"univ",0,41.635068009
30,"univ",5865.0622810452,15939.4769824732
31,"univ",6047.4330524866,13997.8889407646
32,"univ",2355.479954326,7628.025878459
33,"univ",3767.596965987,11228.705247438
34,"univ",3607.513874428,10891.660309209
35,"univ",6018.609026286,11151.225190308
36,"univ",3971.195575076,6528.14904873
37,"univ",2660.870145236,10678.297906769
38,"univ",2177.435988908,7311.000726473
39,"univ",3069.117927639,6259.214359457
4,"univ",106.2412899,302.4567582
40,"univ",2820.75405634,3752.38815864
41,"univ",296.0001835,448.2724935
42,"univ",571.373317764,1015.226252364
43,"univ",538.5647987,538.5647987
44,"univ",447.7360694,447.7360694
45,"univ",0,0
46,"univ",0,0
47,"univ",0,0
48,"univ",0,0
49,"univ",0,0
5,"univ",0,1205.2693911
6,"univ",0,1623.477972483
7,"univ",98.206149,3200.741086005
8,"univ",882.316937848,12473.586928987
9,"univ",1263.171868652,21870.811195536
1,"work",0,2431.055702024
10,"work",75421.0110516181,279240.193367117
11,"work",51053.0915151641,200292.516079046
12,"work",35382.0018449757,133083.934467478
13,"work",25235.8793747266,80285.4831500431
14,"work",17807.6584979469,70423.7350672971
15,"work",12437.3464474206,43430.351623175
16,"work",10729.776282811,29022.7098251082
17,"work",6532.4204144224,28094.167035213
18,"work",12723.6071232341,34667.4955684772
19,"work",11683.6822537616,41611.5007956815
2,"work",157.960801532,4056.16329837
20,"work",11593.4447720197,51368.1300576997
21,"work",14211.6235457112,51947.1853615238
22,"work",13083.9434549631,49832.4643998305
23,"work",18059.0115769809,79849.9976714366
24,"work",26896.8508507958,91008.1886226317
25,"work",23810.6488596873,129366.926830554
26,"work",47495.3875968082,177566.511536578
27,"work",70752.6602663194,242873.506341601
28,"work",82392.9700693556,273723.499098243
29,"work",86173.7565964091,315207.615975774
3,"work",323.547292493,10909.540871798
30,"work",91233.2168736594,220204.300257073
31,"work",80941.6264789905,180593.658364317
32,"work",63600.9746479693,111672.473303629
33,"work",45242.2466400096,84399.5537394553
34,"work",38398.5355571041,63087.9901006664
35,"work",29778.6647043781,57840.8474927201
36,"work",22966.8044917306,37227.7660010746
37,"work",19040.737141497,49144.491643175
38,"work",15033.140387377,27220.464569011
39,"work",11871.109411543,33297.1354654372
4,"work",885.909807979,14537.007059777
40,"work",5071.431438333,21215.62881148
41,"work",5319.973119056,23063.227042835
42,"work",3230.744489586,20524.4692326466
43,"work",1553.85048772,11579.5833642822
44,"work",469.124831819,3903.037386534
45,"work",937.34303164,4127.545086212
46,"work",437.314625699,3756.956096366
47,"work",18.323738895,1260.337921824
48,"work",0,2622.990510601
49,"work",0,0
5,"work",1181.509992707,48392.40709088
6,"work",4481.732076749,77741.4465124322
7,"work",8396.86186796928,124133.072851799
8,"work",26379.8754586632,221828.185069342
9,"work",51357.5462207435,267456.258004787
1,"Total",0,2790.707088074
10,"Total",145345.169047923,724608.194945463
11,"Total",114621.25895098,627722.295032115
12,"Total",104187.038781864,506615.940376365
13,"Total",106253.363794429,394616.419299215
14,"Total",91736.109149537,344268.142315219
15,"Total",95536.7389041772,344473.933646175
16,"Total",108196.913723092,317307.388724775
17,"Total",117390.115688997,377319.893445679
18,"Total",146413.893455547,461082.024589172
19,"Total",146820.453358948,477369.733148366
2,"Total",172.764041207,4269.802973805
20,"Total",141711.402821828,419676.793837327
21,"Total",140443.611905178,416223.579145394
22,"Total",143142.221440302,414277.581150551
23,"Total",163823.201745821,499369.960924163
24,"Total",188931.85676851,612338.48336676
25,"Total",207032.251472273,779210.69022381
26,"Total",260234.43350012,794054.795846638
27,"Total",220562.854437006,757817.573963789
28,"Total",247768.740842672,715739.97759037
29,"Total",221659.809311966,751369.676718764
3,"Total",323.547292493,13377.564571442
30,"Total",223454.213399817,664023.879076465
31,"Total",223870.108184019,582705.479293418
32,"Total",186625.09803444,472859.287974696
33,"Total",132389.930565341,386267.973592528
34,"Total",130393.565956637,346177.110171058
35,"Total",113067.944378288,310742.339436565
36,"Total",85945.5321561676,226404.324610367
37,"Total",57614.7406177126,193849.051070654
38,"Total",35371.390581104,105427.368355977
39,"Total",28837.8892541239,94296.6184734341
4,"Total",1166.709101664,18033.339105151
40,"Total",15038.9576379535,54306.0952075735
41,"Total",11766.3943121608,48756.6203225189
42,"Total",9794.02278331392,35611.4480758425
43,"Total",8604.10728235196,26950.1941883472
44,"Total",4754.521572287,9174.713291444
45,"Total",2501.4297094392,9938.6528148232
46,"Total",3532.05587796442,9930.47911109942
47,"Total",2266.668616505,5086.188937649
48,"Total",2545.715011196,5212.726917497
49,"Total",0,0
5,"Total",1406.354989377,61661.927247089
6,"Total",7141.256850363,99840.7602710342
7,"Total",11032.2542741393,185642.852831449
8,"Total",40367.9127347932,441499.819310876
9,"Total",90379.0135927941,667045.011926598
