"","SAMPNO","PERNO","AGE","AAGE","AGE_AAGE","AGE18","SEX","LIC","NOLIC","NOLIC_O","DRIVE","NODRIVE","NODRIVE_O","EMPLY","EMPYTYPE","EMPYTYPE_O","JOBS","EMPLYNOJOB","WKSTAT","WKSTAT_O","WPLACE","WMODE","WMODE_O","INDUS","INDUS_O","DELIV_DRIV","TCOFF","TCDAYS","STUDE","SCHOL","SCHOL_O","SLOC","SWEB","SMODE","SMODE_O","EDUC","EDUC_O","NOGOWHY","NOGOWHY_O","PERTRIPS","PERTYPE","PERRKWT0"
"15887",3125845,1,78,NA,6,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,5,5,36.6579457
"15888",3125880,1,85,NA,6,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,7,4,814.4627125
"15889",3125914,1,65,NA,5,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,11,4,69.8732235
"15890",3125914,2,71,NA,5,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,11,5,67.9916026
"15891",3125948,1,65,NA,5,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,7,5,15.6932185
"15892",3125948,2,65,NA,5,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,8,5,16.6562757
"15893",3125950,1,47,NA,4,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,42,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,3,1,114.7728694
"15894",3125950,2,52,NA,4,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,NA,7,NA,0,4,117.1909198
"15895",3125950,3,17,NA,3,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,2,NA,4,NA,1,NA,NA,NA,2,6,146.4513804
"15896",3126013,1,53,NA,4,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,7,4,219.85855
"15897",3126056,1,48,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,55,NA,2,1,0,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,15.9604082
"15898",3126056,2,54,NA,4,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,54,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,19.4868902
"15899",3126139,1,26,NA,4,NA,2,1,NA,NA,1,NA,NA,1,5,NA,1,NA,0,NA,1,4,NA,52,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,1,105.0611163
"15900",3126139,2,26,NA,4,NA,1,1,NA,NA,1,NA,NA,1,5,NA,1,NA,0,NA,1,8,NA,54,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,1,109.8454124
"15901",3126149,1,61,NA,4,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,8,5,62.4597323
"15902",3126149,2,68,NA,5,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,5,52.9463476
"15903",3126164,1,22,NA,4,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,2,4,NA,2,NA,NA,NA,15,3,82.9030658
"15904",3126164,2,17,NA,3,NA,2,1,NA,NA,1,NA,NA,1,-8,NA,1,NA,0,NA,1,4,NA,44,NA,2,2,NA,1,7,NA,NA,2,4,NA,2,NA,NA,NA,8,6,117.1806109
"15905",3126180,1,-7,4,4,NA,2,1,NA,NA,2,4,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,1,NA,0,4,2072.9856125
"15906",3126180,2,-7,4,4,NA,2,2,-7,NA,NA,NA,NA,2,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,-8,NA,6,NA,0,4,2072.9856125
"15907",3126218,1,54,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,2,NA,0,NA,1,4,NA,62,NA,1,-8,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,1,76.5236785
"15908",3126218,2,12,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,NA,2,NA,1,NA,NA,NA,4,7,98.4015558
"15909",3126258,1,74,NA,5,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,5,221.6339893
"15910",3126258,2,75,NA,5,NA,1,1,NA,NA,2,5,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,5,402.1560992
"15911",3126278,1,80,NA,6,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,6,5,188.0308996
"15912",3126375,1,61,NA,4,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,4,33.4003914
"15913",3126378,1,69,NA,5,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,44,NA,1,-8,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,1,43.1910625
"15914",3126415,1,56,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,54,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,1,52.1592932
"15915",3126416,1,80,NA,6,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,11,5,671.2220168
"15916",3126433,1,-7,5,5,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,7,NA,0,5,221.4766352
