"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Wayne","Oakland","Auto 2 Person","Discretionary",11811.617452733
"Oakland","Wayne","Auto SOV","Shop",10452.2979286742
"Wayne","Oakland","Auto SOV","Shop",9765.3413790242
"Livingston","Livingston","Auto 3+ Person","Work",5781.30775424812
"Livingston","Livingston","Auto 3+ Person","Discretionary",19303.4954172447
"Oakland","Oakland","Auto 2 Person","Work-based",29051.322230876
"Livingston","Livingston","Auto 3+ Person","Visiting",4409.51889668
"Livingston","Oakland","Auto SOV","Work-based",456.577737571
"Washtenaw","Washtenaw","Walk","Visiting",8976.7789267363
"Oakland","Macomb","Auto 2 Person","Discretionary",7020.482004303
"Macomb","Oakland","Auto 2 Person","Discretionary",5836.521818314
"Oakland","Oakland","Auto 2 Person","Discretionary",159067.350041657
"Livingston","Oakland","Auto SOV","Maintenance",4849.310042577
"Wayne","Wayne","Bike/Moped","Discretionary",9644.706064969
"Wayne","Wayne","Auto 2 Person","Escort",129261.467841408
"Wayne","Wayne","Auto 3+ Person","Escort",99816.078683185
"Washtenaw","Livingston","Auto SOV","Work-based",193.66698666
"Livingston","Washtenaw","Auto SOV","Work-based",223.477062452
"Washtenaw","Oakland","Auto SOV","Work",11920.6118081113
"Oakland","Washtenaw","Auto SOV","Work",13210.7932266712
"Oakland","Oakland","Auto 3+ Person","Work-based",9573.836387295
"Oakland","Oakland","Walk","Work-based",9291.678660333
"Washtenaw","Wayne","Auto SOV","Discretionary",4018.599948949
"Wayne","Washtenaw","Auto SOV","Discretionary",3896.453202787
"Oakland","Oakland","Auto 3+ Person","Escort",92570.973343905
"Oakland","Oakland","Auto 3+ Person","School",164444.961823532
"Washtenaw","Washtenaw","Walk-Transit","Maintenance",3002.866410572
"St. Clair","St. Clair","Auto SOV","Shop",26184.163872021
"St. Clair","St. Clair","Auto 2 Person","Work",16193.0891646034
"Detroit","Wayne","Auto SOV","Discretionary",12135.678381565
"Wayne","Detroit","Auto SOV","Discretionary",9441.528888413
"Detroit","Detroit","Auto SOV","Discretionary",35891.366200023
"Macomb","Washtenaw","Auto SOV","Work",1180.879034361
"Wayne","Wayne","Auto 2 Person","Eating Out",55309.3705256006
"Wayne","Wayne","School Bus","Shop",94.073581093
"Wayne","Oakland","Auto 2 Person","Visiting",3736.211224134
"Oakland","Detroit","Auto 2 Person","Visiting",2131.382234316
"Detroit","Oakland","Auto 2 Person","Visiting",4458.298087045
"Oakland","Wayne","Auto 2 Person","Visiting",3049.272157928
"Monroe","Monroe","Auto 3+ Person","Escort",9606.97492053172
"Monroe","Monroe","Auto 2 Person","Escort",11019.6940278772
"Monroe","Washtenaw","Auto 3+ Person","Escort",85.149594352
"Washtenaw","Monroe","Auto 3+ Person","Escort",85.149594352
"Wayne","Monroe","Auto SOV","Work",10954.369897064
"Wayne","Washtenaw","Auto SOV","Work-based",1274.074798194
"Washtenaw","Wayne","Auto SOV","Work-based",1220.099911809
"Monroe","Washtenaw","Auto 3+ Person","Discretionary",284.722762693
"Washtenaw","Monroe","Auto 3+ Person","Discretionary",179.781933328
"Detroit","Detroit","Auto SOV","Visiting",12933.060021304
"Livingston","Oakland","Auto 2 Person","Escort",1314.933846858
"Oakland","Livingston","Auto SOV","Escort",2581.697135967
"Livingston","Wayne","Auto SOV","Maintenance",1428.062854277
"Oakland","Livingston","Auto 2 Person","Maintenance",2320.55922049382
"Livingston","Oakland","Auto 2 Person","Maintenance",1905.633063196
"Livingston","Oakland","Auto 2 Person","School",1244.736096124
"Livingston","Livingston","School Bus","Discretionary",78.877275
"Washtenaw","Washtenaw","Bike/Moped","Discretionary",4077.274753721
"St. Clair","St. Clair","Auto SOV","Work-based",8069.680094009
"St. Clair","St. Clair","Auto 3+ Person","Work",5206.647220262
"St. Clair","St. Clair","Auto 2 Person","Visiting",4223.056154402
"St. Clair","St. Clair","Auto 2 Person","Discretionary",18123.9206546066
"St. Clair","St. Clair","Auto 3+ Person","Discretionary",12977.5891077547
"Wayne","Wayne","Walk","Eating Out",8739.807726534
"Livingston","Livingston","Auto 2 Person","Visiting",7736.38311445876
"Livingston","Wayne","Auto 2 Person","Visiting",641.149725843
"Wayne","Livingston","Auto 2 Person","Visiting",285.009459581
"Washtenaw","Washtenaw","Auto 2 Person","Eating Out",18220.9219353809
"Macomb","Detroit","PNR-Transit","Work",192.941069685
"Detroit","Macomb","PNR-Transit","Work",192.941069685
"Monroe","Macomb","Auto SOV","Work",314.304582454
"Macomb","Monroe","Auto SOV","Work",325.979665699
"Monroe","Wayne","Auto SOV","Maintenance",1378.504307995
"Wayne","Monroe","Auto SOV","Maintenance",1128.501921694
"Detroit","Detroit","Auto 3+ Person","Shop",23629.322473222
"St. Clair","St. Clair","Auto 2 Person","Maintenance",26164.469477052
"Macomb","Macomb","Auto SOV","Discretionary",136224.062097386
"Wayne","Macomb","Auto 2 Person","Discretionary",1759.652109187
"Macomb","Macomb","Auto 2 Person","Discretionary",97885.847859714
"Macomb","Detroit","Auto 2 Person","Discretionary",3339.261246782
"Detroit","Macomb","Auto 2 Person","Discretionary",3840.862458912
"Macomb","Macomb","School Bus","School",73198.021493452
"Macomb","Wayne","School Bus","School",1264.7606282
"Wayne","Macomb","Auto 2 Person","School",1346.3882588
"Macomb","Macomb","School Bus","Discretionary",838.279984212
"Macomb","Detroit","School Bus","Discretionary",573.6508679
"Detroit","Detroit","Auto SOV","Eating Out",6139.99136020062
"Macomb","Macomb","Auto 2 Person","Eating Out",44942.6582660429
"Macomb","Macomb","Auto SOV","Eating Out",41654.351691506
"Washtenaw","Washtenaw","Bike/Moped","University",3062.214456728
"Oakland","Macomb","Auto 2 Person","Work",16959.63159521
"Macomb","Macomb","Auto 2 Person","Work",115304.297631485
"Livingston","Macomb","Auto SOV","Maintenance",132.792124139
"Macomb","Livingston","Auto SOV","Maintenance",132.792124139
"Livingston","Livingston","Bike/Moped","Discretionary",611.687629973
"Washtenaw","Macomb","Auto SOV","Work",1346.010997438
"Livingston","Livingston","Auto SOV","School",5933.565365664
"Livingston","Washtenaw","Auto 2 Person","Maintenance",1915.627478556
"Washtenaw","Livingston","Auto 2 Person","Maintenance",2994.519571277
"Livingston","Washtenaw","Auto 3+ Person","Escort",320.158806052
"Washtenaw","Livingston","Auto SOV","Escort",435.081454309
