LINKSERIAL,USECOUNT,LOCAL_ID,AADT_YEAR,AADT,AADT_CAR,AADT_TRUCK,AADT_SUT,AADT_MUT,FCLASS,FCLASS_LABEL,AREATYPE,AREATYPE_LABEL,FCLASS_GROUP,COUNTY,CountyName,VOLUME_GROUP_MUT,VOLUME_GROUP_SUT,VOLUME_GROUP_TRUCK,TOD,NumCountsParent,NumCounts,SUT,MUT,PctSUT,PctMUT
368,1,63-5387,2018,31322,30709,613,346,153,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,AM,1,1,64.6869565217391,19.5,0.00030632935161454,6.54562299225603e-05
368,1,63-5387,2018,31322,30709,613,346,153,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,MD,1,1,176.760869565217,81,0.000837062763132754,0.000271895108909096
368,1,63-5387,2018,31322,30709,613,346,153,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,PM,1,1,69.5760869565218,28.5,0.000329482151445871,9.56667975791265e-05
368,1,63-5387,2018,31322,30709,613,346,153,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,EV,1,1,17.6760869565217,3.5,8.37062763132754e-05,1.17485540886647e-05
368,1,63-5387,2018,31322,30709,613,346,153,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,NT,1,1,17.3,20.5,8.19252917108653e-05,6.88129596621787e-05
400,1,63-5394,2018,37278,36568,710,393,143,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,AM,1,1,61.6878306878307,25,0.000292126793301214,8.39182434904619e-05
400,1,63-5394,2018,37278,36568,710,393,143,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,MD,1,1,187.142857142857,71.5,0.000886227350464356,0.000240006176382721
400,1,63-5394,2018,37278,36568,710,393,143,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,PM,1,1,91.4920634920635,24,0.000433266704671463,8.05615137508434e-05
400,1,63-5394,2018,37278,36568,710,393,143,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,EV,1,1,28.4179894179894,7.5,0.000134575264329773,2.51754730471386e-05
400,1,63-5394,2018,37278,36568,710,393,143,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,NT,1,1,24.2592592592593,15,0.000114881323208342,5.03509460942771e-05
488,1,63-5569,2019,13756,12918,838,299,523,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,500-999,200-499,500-999,AM,1,1,74.0219155844156,122.987476808905,0.000350535666315046,0.00041283572100509
488,1,63-5569,2019,13756,12918,838,299,523,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,500-999,200-499,500-999,MD,1,1,124.017045454545,175.384508348794,0.000587290903236028,0.000588718395042762
488,1,63-5569,2019,13756,12918,838,299,523,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,500-999,200-499,500-999,PM,1,1,63.3433441558442,168.107142857143,0.000299966586584351,0.000564290245870863
488,1,63-5569,2019,13756,12918,838,299,523,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,500-999,200-499,500-999,EV,1,1,30.5795454545455,49.9712430426716,0.000144811455592445,0.000167739957647039
