TAZ,StationGroup,StationName,StationType,XI,IX,XIIX,ExtGen,ExtAttr,F_BUFFER_MI,F_BUFFER_OH,F_BUFFER_CAN,F_OTHER_MI,F_Mexico,F_US_Central,F_US_East,F_US_South,F_US_West,F_Canada_West,F_Canada_East,F_Canada_ON,F_Canada_QC,ExtLongHaul,ExtShortHaul
2841,Michigan,Other Road,Other Road,0.221495278179646,0.194444511085749,0.415939789265394,0.207969894632697,0.207969894632697,5.02750194003426e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207969894632697
2842,Michigan,Other Road,Other Road,1.5247443318367,1.48960971832275,3.01435405015945,1.50717702507973,1.50717702507973,0.000364347706717166,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50717702507973
2843,Michigan,Other Road,Other Road,5.55699150823057,8.20969235897064,13.7666838672012,6.88334193360061,6.88334193360061,0.00166399155926944,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88334193360061
2844,Michigan,Other Road,Other Road,5.7411399781704,4.82326111197472,10.5644010901451,5.28220054507256,5.28220054507256,0.00127692873696475,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28220054507256
2845,Michigan,Other Road,Other Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2846,Michigan,Other Road,Other Road,2.0178339779377,1.44693046808243,3.46476444602013,1.73238222301006,1.73238222301006,0.000418789219586143,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73238222301006
2847,Michigan,Other Road,Other Road,19.5478013753891,18.9316338896751,38.4794352650642,19.2397176325321,19.2397176325321,0.00465104422417008,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2397176325321
2848,Michigan,I-94 W,Major Highway,3432.07883574069,3333.99253255315,6766.07136829384,3383.03568414692,3383.03568414692,0.104462945831447,0,0,0.190375326934932,0,0,0,0,0.780857441977491,0.780857441977491,0,0,0,2950.90958858863,432.126095558287
2849,Michigan,Other Road,Other Road,0.9626060500741,0.976275518536568,1.93888156861067,0.969440784305334,0.969440784305334,0.000234354372898602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969440784305334
2850,Michigan,Other Road,Other Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2851,Michigan,Other Road,Other Road,56.5936661884189,57.2914290726185,113.885095261037,56.9425476305187,56.9425476305187,0.0137653947071778,0,0,0,0,0,0,0,0,0,0,0,0,0,56.9425476305187
2852,Michigan,Other Road,Other Road,9.71408630907536,10.0269990731031,19.7410853821784,9.87054269108921,9.87054269108921,0.00238612288650167,0,0,0,0,0,0,0,0,0,0,0,0,0,9.87054269108921
2853,Michigan,Other Road,Other Road,0.180555507307872,0.171296250540763,0.351851757848635,0.175925878924318,0.175925878924318,4.25286409437447e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175925878924318
2854,Michigan,Other Road,Other Road,14.0441341325641,13.9689580276608,28.0130921602249,14.0065460801125,14.0065460801125,0.00338596784478408,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0065460801125
2855,Michigan,Other Road,Other Road,0.395913173211738,0.375709944055416,0.771623117267154,0.385811558633577,0.385811558633577,9.32667857020203e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385811558633577
2856,Michigan,Other Road,Other Road,21.9737072251737,21.6604876574129,43.6341948825866,21.8170974412933,21.8170974412933,0.00527410469220739,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8170974412933
2857,Michigan,I-96 W,Major Highway,1781.08725735545,1863.07418252714,3644.16143988259,1822.0807199413,1822.0807199413,0.122229896745148,0,0,0.222754167699104,0,0,0,0,0,0,0,0,0,1316.45906031284,505.621659628452
2858,Michigan,Other Road,Other Road,73.5567631460726,73.2444042414427,146.801167387515,73.4005836937577,73.4005836937577,0.0177439901852985,0,0,0,0,0,0,0,0,0,0,0,0,0,73.4005836937577
2859,Michigan,Other Road,Other Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2860,Michigan,Other Road,Other Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2861,Michigan,Other Road,Other Road,2.70089839398861,2.63491255044937,5.33581094443798,2.66790547221899,2.66790547221899,0.000644944306054392,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66790547221899
2862,Michigan,Other Road,Other Road,9.97616535425186,10.0102892369032,19.9864545911551,9.99322729557753,9.99322729557753,0.00241578088523109,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99322729557753
2863,Michigan,Other Road,Other Road,13.3632058948278,13.3552632406354,26.7184691354632,13.3592345677316,13.3592345677316,0.0032294855861356,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3592345677316
2864,Michigan,Other Road,Other Road,16.2275670319796,15.7057398855686,31.9333069175482,15.9666534587741,15.9666534587741,0.00385980775638769,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9666534587741
2865,Michigan,Other Road,Other Road,1.28698473435452,1.31042589986191,2.59741063421643,1.29870531710822,1.29870531710822,0.000313951378050457,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29870531710822
2866,Michigan,US-23 N,Major Highway,1210.24850990064,1151.69658964127,2361.94509954192,1180.97254977096,1180.97254977096,0.0792226992128038,0,0,0.144377005102273,0,0,0,0,0,0,0,0,0,853.256387662578,327.716162108381
2867,Michigan,Other Road,Other Road,6.96372309001163,6.93574812589213,13.8994712159038,6.94973560795188,6.94973560795188,0.001680041686486,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94973560795188
2868,Michigan,Other Road,Other Road,7.12215399113484,7.33659642050043,14.4587504116353,7.22937520581763,7.22937520581763,0.0017476422698908,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22937520581763
2869,Michigan,Other Road,Other Road,53.3823384344578,54.8950380478054,108.277376482263,54.1386882411316,54.1386882411316,0.0130875846546881,0,0,0,0,0,0,0,0,0,0,0,0,0,54.1386882411316
2870,Michigan,Other Road,Other Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2871,Michigan,Other Road,Other Road,23.4271208830178,23.2144895866513,46.6416104696691,23.3208052348346,23.3208052348346,0.00563761374060236,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3208052348346
2872,Michigan,I-75 N,Major Highway,1254.08375952393,1027.26125203259,2281.34501155652,1140.67250577826,1140.67250577826,0.0765192678213497,0,0,0.139450218566647,0,0,0,0,0,0,0,0,0,824.139478919423,316.533026858838
2873,Michigan,Other Road,Other Road,42.6841757185757,43.2852529082447,85.9694286268205,42.9847143134102,42.9847143134102,0.0103912027740438,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9847143134102
2874,Michigan,Other Road,Other Road,0.565557854250073,0.554142197594047,1.11970005184412,0.55985002592206,0.55985002592206,0.000135339160334838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55985002592206
2875,Michigan,Other Road,Other Road,32.1585277430713,32.2182944267988,64.3768221698701,32.1884110849351,32.1884110849351,0.00778128485673083,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1884110849351
2876,Michigan,Other Road,Other Road,7.75,6.26726561784744,14.0172656178474,7.00863280892372,7.00863280892372,0.00169427960263591,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00863280892372
