GEO_ID,TractID,CensusTract,County,State,Census_HH,Census_A0,Census_A1,Census_A2,Census_A3,Census_A4
1400000US26021002100,26021002100,Census Tract 21, Berrien County, Michigan,927,151,444,246,43,43
1400000US26021002200,26021002200,Census Tract 22, Berrien County, Michigan,1042,466,352,177,47,0
1400000US26021002300,26021002300,Census Tract 23, Berrien County, Michigan,783,123,329,250,54,27
1400000US26021002400,26021002400,Census Tract 24, Berrien County, Michigan,763,48,233,284,125,73
1400000US26021002500,26021002500,Census Tract 25, Berrien County, Michigan,934,85,407,284,136,22
1400000US26021010100,26021010100,Census Tract 101, Berrien County, Michigan,1549,62,450,589,311,137
1400000US26021010200,26021010200,Census Tract 102, Berrien County, Michigan,2669,69,923,1143,383,151
1400000US26021010300,26021010300,Census Tract 103, Berrien County, Michigan,2054,156,866,771,172,89
1400000US26021010400,26021010400,Census Tract 104, Berrien County, Michigan,1114,54,272,429,257,102
1400000US26021010500,26021010500,Census Tract 105, Berrien County, Michigan,838,21,209,334,149,125
1400000US26021010600,26021010600,Census Tract 106, Berrien County, Michigan,1723,56,369,738,434,126
1400000US26021011000,26021011000,Census Tract 110, Berrien County, Michigan,1191,24,390,512,201,64
1400000US26021011100,26021011100,Census Tract 111, Berrien County, Michigan,2375,238,813,910,320,94
1400000US26021011200,26021011200,Census Tract 112, Berrien County, Michigan,1427,48,475,514,276,114
1400000US26021011300,26021011300,Census Tract 113, Berrien County, Michigan,1952,111,761,803,221,56
1400000US26021011400,26021011400,Census Tract 114, Berrien County, Michigan,1069,37,340,474,139,79
1400000US26021011500,26021011500,Census Tract 115, Berrien County, Michigan,565,31,157,222,114,41
1400000US26021011600,26021011600,Census Tract 116, Berrien County, Michigan,803,18,203,381,127,74
1400000US26021020100,26021020100,Census Tract 201, Berrien County, Michigan,1014,27,303,429,176,79
1400000US26021020200,26021020200,Census Tract 202, Berrien County, Michigan,2262,286,864,754,315,43
